"","YEAR","SERIAL","MONTH","CPSID","ASECFLAG","HFLAG","ASECWTH","STATEFIP","PERNUM","CPSIDP","CPSIDV","ASECWT","AGE","EMPSTAT","WKSTAT","EDUC","Education"
"1",2002,25868,3,0,1,NA,1396.78,17,1,0,0,1396.78,44,21,50,73,"High School Diploma"
"2",2002,25873,3,0,1,NA,1202.85,17,4,0,0,1202.85,29,21,50,60,"Less than a High School Diploma"
"3",2002,25890,3,20020102635200,1,NA,2240.71,17,1,20020102635201,200201026352011,2240.71,62,21,60,73,"High School Diploma"
"4",2002,25913,3,20020104840600,1,NA,1297.64,17,2,20020104840602,200201048406021,1297.64,27,21,50,81,"Some College No Degree"
"5",2002,25940,3,20010101817200,1,NA,1140.5,17,4,20010101817207,200101018172071,1257.84,26,21,50,73,"High School Diploma"
"6",2002,25965,3,20011205564700,1,NA,1076.5,17,1,20011205564701,200112055647011,1076.5,40,21,50,81,"Some College No Degree"
"7",2002,25973,3,20010204748000,1,NA,1114.4,17,1,20010204748001,200102047480011,1114.4,25,21,50,81,"Some College No Degree"
"8",2002,25981,3,20020206576400,1,NA,2149.14,17,2,20020206576402,200202065764021,2392.93,49,21,50,73,"High School Diploma"
"9",2002,25986,3,20010301827500,1,NA,2412.74,17,2,20010301827502,200103018275022,2412.74,33,21,60,73,"High School Diploma"
"10",2002,25999,3,20010301812200,1,NA,1260.27,17,2,20010301812202,200103018122021,1051.83,52,21,50,73,"High School Diploma"
"11",2002,26026,3,0,1,NA,1244.52,17,1,0,0,1244.52,36,21,50,81,"Some College No Degree"
"12",2002,26040,3,0,1,NA,1261.14,17,1,0,0,1261.14,76,21,50,30,"Less than a High School Diploma"
"13",2002,26046,3,0,1,NA,1296.53,17,1,0,0,1296.53,48,21,50,73,"High School Diploma"
"14",2002,26059,3,0,1,NA,1005.95,17,1,0,0,1005.95,56,21,50,81,"Some College No Degree"
"15",2002,26082,3,20020301918800,1,NA,1115.37,17,1,20020301918801,200203019188011,1115.37,47,21,60,20,"Less than a High School Diploma"
"16",2002,26104,3,20020302048500,1,NA,2428.85,17,2,20020302048502,200203020485021,2428.85,55,21,50,73,"High School Diploma"
"17",2002,26127,3,20010201911300,1,NA,1829.39,17,1,20010201911301,200102019113011,1829.39,50,21,50,73,"High School Diploma"
"18",2002,26158,3,0,1,NA,1292.79,17,1,0,0,1292.79,46,21,50,73,"High School Diploma"
"19",2002,26170,3,0,1,NA,1331.37,17,1,0,0,1331.37,33,21,50,60,"Less than a High School Diploma"
"20",2002,26173,3,0,1,NA,1199.16,17,2,0,0,1199.16,30,21,60,73,"High School Diploma"
"21",2002,26174,3,0,1,NA,1181.73,17,1,0,0,1181.73,32,21,50,81,"Some College No Degree"
"22",2002,26181,3,20010200730900,1,NA,856.36,17,1,20010200730901,200102007309011,856.36,42,21,50,50,"Less than a High School Diploma"
"23",2002,26201,3,20001201788400,1,NA,1058.71,17,1,20001201788402,200012017884021,1058.71,56,21,50,73,"High School Diploma"
"24",2002,26215,3,20020202194600,1,NA,2064.64,17,1,20020202194601,200202021946011,2064.64,31,21,50,81,"Some College No Degree"
"25",2002,26274,3,20011205565300,1,NA,2351.48,17,1,20011205565301,200112055653011,2351.48,45,21,50,40,"Less than a High School Diploma"
"26",2002,26315,3,20011203933900,1,NA,3791.45,17,2,20011203933902,200112039339021,3791.45,40,21,50,60,"Less than a High School Diploma"
"27",2002,26323,3,0,1,NA,2328.51,17,1,0,0,2328.51,46,21,50,73,"High School Diploma"
"28",2002,26348,3,20020302135200,1,NA,2347.68,17,2,20020302135202,200203021352021,2204.55,30,21,50,91,"Associate's Degree"
"29",2002,26378,3,0,1,NA,1281.63,17,1,0,0,1281.63,49,21,60,81,"Some College No Degree"
"30",2002,26395,3,20010101815000,1,NA,1301.72,17,2,20010101815002,200101018150021,1301.72,29,21,50,92,"Associate's Degree"
"31",2002,26428,3,20020200845300,1,NA,2273.45,17,2,20020200845302,200202008453021,2273.45,58,21,50,73,"High School Diploma"
"32",2002,26447,3,20001201810500,1,NA,1184.97,17,1,20001201810501,200012018105011,1184.97,46,21,50,111,"Bachelor's Degree"
"33",2002,26495,3,20010200730200,1,NA,2059.05,17,1,20010200730201,200102007302011,2059.05,57,21,50,123,"Advanced Degree"
"34",2002,26499,3,20010200730700,1,NA,1014.59,17,3,20010200730703,200102007307031,1405.54,27,21,50,91,"Associate's Degree"
"35",2002,26513,3,20011201121700,1,NA,1450.63,17,2,20011201121702,200112011217021,1450.63,39,21,60,81,"Some College No Degree"
"36",2002,26531,3,20020202077800,1,NA,1072.73,17,1,20020202077801,200202020778011,1072.73,43,21,50,111,"Bachelor's Degree"
"37",2002,26539,3,20020103921000,1,NA,2291.33,17,1,20020103921001,200201039210011,2291.33,27,21,50,73,"High School Diploma"
"38",2002,26550,3,20020102600900,1,NA,1166.84,17,2,20020102600902,200201026009021,1791.58,34,21,50,60,"Less than a High School Diploma"
"39",2002,26550,3,20020102600900,1,NA,1166.84,17,3,20020102600903,200201026009031,1591.11,45,21,50,60,"Less than a High School Diploma"
"40",2002,26568,3,20020205524100,1,NA,1138.44,17,2,20020205524102,200202055241021,1138.44,48,21,50,73,"High School Diploma"
"41",2002,26642,3,20020101136500,1,NA,1135.14,17,1,20020101136501,200201011365011,1135.14,49,21,50,73,"High School Diploma"
"42",2002,26666,3,0,1,NA,1029.73,17,1,0,0,1029.73,49,21,50,20,"Less than a High School Diploma"
"43",2002,26666,3,0,1,NA,1029.73,17,2,0,0,1029.73,47,21,60,40,"Less than a High School Diploma"
"44",2002,26674,3,0,1,NA,1140.52,17,2,0,0,1140.52,39,21,50,73,"High School Diploma"
"45",2002,26718,3,20001201759800,1,NA,1132.61,17,1,20001201759801,200012017598011,1132.61,42,21,50,50,"Less than a High School Diploma"
"46",2002,26720,3,20001201815500,1,NA,1199.3,17,3,20001201815503,200012018155033,1477.58,25,21,50,73,"High School Diploma"
"47",2002,26725,3,20020100912900,1,NA,1077.99,17,2,20020100912903,200201009129031,968.57,26,21,50,50,"Less than a High School Diploma"
"48",2002,26769,3,20010204747500,1,NA,2189.15,17,1,20010204747501,200102047475011,2189.15,29,21,50,111,"Bachelor's Degree"
"49",2002,26786,3,20010301807100,1,NA,2343.48,17,1,20010301807101,200103018071011,2343.48,65,21,50,73,"High School Diploma"
"50",2002,26806,3,20010301821000,1,NA,1096.13,17,1,20010301821001,200103018210011,1096.13,45,21,50,73,"High School Diploma"
"51",2002,26847,3,20011201133000,1,NA,2173.09,17,1,20011201133001,200112011330011,2173.09,40,21,50,73,"High School Diploma"
"52",2002,26865,3,20020106120700,1,NA,2110.98,17,1,20020106120701,200201061207011,2110.98,31,22,50,124,"Advanced Degree"
"53",2002,26875,3,20020107242600,1,NA,2236.58,17,1,20020107242601,200201072426011,2236.58,39,21,50,81,"Some College No Degree"
"54",2002,26884,3,20020102652900,1,NA,2040.78,17,2,20020102652902,200201026529021,2040.78,49,21,50,50,"Less than a High School Diploma"
"55",2002,26884,3,20020102652900,1,NA,2040.78,17,3,20020102652903,200201026529031,2937.54,25,21,50,91,"Associate's Degree"
"56",2002,26901,3,20020206575100,1,NA,1270.05,17,1,20020206575101,200202065751011,1270.05,36,21,50,81,"Some College No Degree"
"57",2002,26927,3,20020301984300,1,NA,1268.94,17,1,20020301984301,200203019843011,1268.94,30,21,50,73,"High School Diploma"
"58",2002,26940,3,20020301928300,1,NA,1187.14,17,2,20020301928302,200203019283021,1739.18,40,21,50,81,"Some College No Degree"
"59",2002,26957,3,20010101839600,1,NA,2223.77,17,2,20010101839602,200101018396021,2223.77,31,21,50,91,"Associate's Degree"
"60",2002,26971,3,20011202687600,1,NA,1260.07,17,1,20011202687601,200112026876011,1260.07,31,21,50,81,"Some College No Degree"
"61",2002,26987,3,20020103923600,1,NA,2110.98,17,1,20020103923601,200201039236011,2110.98,34,21,50,81,"Some College No Degree"
"62",2002,26987,3,20020103923600,1,NA,2110.98,17,2,20020103923602,200201039236021,2040.78,47,21,50,81,"Some College No Degree"
"63",2002,26997,3,20020202245100,1,NA,1220.99,17,1,20020202245101,200202022451011,1220.99,36,21,50,73,"High School Diploma"
"64",2002,27032,3,20001201758500,1,NA,1199.3,17,1,20001201758501,200012017585011,1199.3,43,21,50,111,"Bachelor's Degree"
"65",2002,27060,3,20020204156900,1,NA,2166.14,17,2,20020204156902,200202041569022,2089.52,25,21,50,73,"High School Diploma"
"66",2002,27062,3,20010204404700,1,NA,2116.08,17,1,20010204404701,200102044047011,2116.08,45,21,50,123,"Advanced Degree"
"67",2002,27088,3,20010204406200,1,NA,1014.59,17,2,20010204406202,200102044062021,1014.59,52,21,60,81,"Some College No Degree"
"68",2002,27102,3,20010301699100,1,NA,969.28,17,2,20010301699102,200103016991021,969.28,67,21,60,50,"Less than a High School Diploma"
"69",2002,27102,3,20010301699100,1,NA,969.28,17,4,20010301699103,200103016991031,1470.23,39,21,50,73,"High School Diploma"
"70",2002,27110,3,20010301779200,1,NA,2420.18,17,1,20010301779201,200103017792011,2420.18,29,21,50,81,"Some College No Degree"
"71",2002,27115,3,20010301801500,1,NA,1160.55,17,1,20010301801501,200103018015011,1160.55,46,21,50,123,"Advanced Degree"
"72",2002,27129,3,20011202686300,1,NA,1450.63,17,2,20011202686302,200112026863021,1450.63,39,21,60,92,"Associate's Degree"
"73",2002,27146,3,20020105806300,1,NA,2138.57,17,1,20020105806301,200201058063011,2138.57,35,21,50,111,"Bachelor's Degree"
"74",2002,27175,3,20020202193000,1,NA,2147.29,17,1,20020202193001,200202021930011,2147.29,38,21,50,81,"Some College No Degree"
"75",2002,27179,3,20020207099900,1,NA,1962.19,17,1,20020207099901,200202070999011,1962.19,45,21,50,111,"Bachelor's Degree"
"76",2002,27201,3,20020301987200,1,NA,1313.93,17,2,20020301987202,200203019872021,1313.93,44,21,60,81,"Some College No Degree"
"77",2002,27229,3,20001201713600,1,NA,1018.64,17,2,20001201713602,200012017136021,1018.64,36,21,50,81,"Some College No Degree"
"78",2002,27230,3,20001201766700,1,NA,2123.65,17,1,20001201766701,200012017667011,2123.65,43,21,50,111,"Bachelor's Degree"
"79",2002,27241,3,20020104838500,1,NA,1389.82,17,1,20020104838501,200201048385011,1389.82,30,21,50,73,"High School Diploma"
"80",2002,27241,3,20020104838500,1,NA,1389.82,17,3,20020104838502,200201048385021,2459.85,27,21,50,60,"Less than a High School Diploma"
"81",2002,27295,3,20001201862800,1,NA,1331.67,17,5,20001201862804,200012018628041,1184.97,52,21,50,111,"Bachelor's Degree"
"82",2002,27304,3,20010101750100,1,NA,1246.95,17,1,20010101750101,200101017501011,1246.95,48,21,50,111,"Bachelor's Degree"
"83",2002,27308,3,20020105966300,1,NA,1144.52,17,1,20020105966301,200201059663011,1144.52,27,21,50,60,"Less than a High School Diploma"
"84",2002,27327,3,20010205246500,1,NA,1370.02,17,1,20010205246501,200102052465011,1370.02,43,21,50,111,"Bachelor's Degree"
"85",2002,27370,3,20010301777000,1,NA,2392.26,17,1,20010301777001,200103017770011,2392.26,64,21,50,73,"High School Diploma"
"86",2002,27374,3,20011206249000,1,NA,1021.56,17,8,20011206249003,200112062490032,1014.52,34,21,50,73,"High School Diploma"
"87",2002,27387,3,20020104838100,1,NA,2138.57,17,2,20020104838102,200201048381021,2787.71,29,21,50,73,"High School Diploma"
"88",2002,27401,3,20020106665700,1,NA,2138.57,17,1,20020106665701,200201066657011,2138.57,35,21,50,111,"Bachelor's Degree"
"89",2002,27412,3,20020206576100,1,NA,2843.78,17,2,20020206576102,200202065761021,4165.21,27,21,50,20,"Less than a High School Diploma"
"90",2002,27422,3,20020302009500,1,NA,1604.94,17,1,20020302009501,200203020095011,1604.94,49,21,50,81,"Some College No Degree"
"91",2002,27436,3,20020301937900,1,NA,1615.05,17,1,20020301937901,200203019379011,1615.05,38,21,50,81,"Some College No Degree"
"92",2002,27437,3,20020301957100,1,NA,1366.73,17,1,20020301957101,200203019571011,1366.73,40,21,50,111,"Bachelor's Degree"
"93",2002,27438,3,20020301967800,1,NA,1423.82,17,3,20020301967804,200203019678041,1615.05,37,21,50,60,"Less than a High School Diploma"
"94",2002,27466,3,20010204406000,1,NA,1061.74,17,1,20010204406001,200102044060011,1061.74,39,21,50,73,"High School Diploma"
"95",2002,27468,3,0,1,NA,1002.79,17,4,0,0,979.59,25,21,50,81,"Some College No Degree"
"96",2002,27478,3,0,1,NA,1150.89,17,1,0,0,1150.89,43,21,50,73,"High School Diploma"
"97",2002,27486,3,20001201807900,1,NA,1369.42,17,1,20001201807901,200012018079011,1369.42,27,21,50,91,"Associate's Degree"
"98",2002,27506,3,20001201822400,1,NA,2532.62,17,1,20001201822401,200012018224011,2532.62,62,21,50,73,"High School Diploma"
"99",2002,27522,3,20010101823100,1,NA,2138.44,17,1,20010101823101,200101018231011,2138.44,38,21,50,81,"Some College No Degree"
"100",2002,27523,3,20010101688700,1,NA,1210.98,17,1,20010101688701,200101016887011,1210.98,66,21,50,60,"Less than a High School Diploma"
"101",2002,27544,3,20010204406100,1,NA,2181.61,17,1,20010204406101,200102044061011,2181.61,57,21,50,123,"Advanced Degree"
"102",2002,27549,3,20010204748400,1,NA,2181.61,17,1,20010204748401,200102047484011,2181.61,59,21,50,111,"Bachelor's Degree"
"103",2002,27555,3,20020201924000,1,NA,1122.44,17,1,20020201924001,200202019240011,1122.44,30,21,50,123,"Advanced Degree"
"104",2002,27567,3,20010301692100,1,NA,1666.61,17,1,20010301692101,200103016921011,1666.61,44,21,50,73,"High School Diploma"
"105",2002,27582,3,20011205564900,1,NA,1101.54,17,1,20011205564901,200112055649011,1101.54,55,21,50,81,"Some College No Degree"
"106",2002,27591,3,20020103920900,1,NA,1193.21,17,1,20020103920901,200201039209011,1193.21,36,21,50,71,"Less than a High School Diploma"
"107",2002,27607,3,20020105807000,1,NA,2195.8,17,1,20020105807001,200201058070011,2195.8,30,21,50,123,"Advanced Degree"
"108",2002,27613,3,20020105809200,1,NA,1131.28,17,2,20020105809202,200201058092021,1131.28,55,21,50,111,"Bachelor's Degree"
"109",2002,27620,3,20020205524400,1,NA,2273.45,17,1,20020205524401,200202055244011,2273.45,55,21,50,60,"Less than a High School Diploma"
"110",2002,27632,3,20020203432300,1,NA,2381.36,17,2,20020203432302,200202034323021,2381.36,35,21,50,111,"Bachelor's Degree"
"111",2002,27638,3,20020301924000,1,NA,1099.94,17,1,20020301924001,200203019240011,1099.94,35,21,50,50,"Less than a High School Diploma"
"112",2002,27722,3,20020302046300,1,NA,1604.94,17,2,20020302046302,200203020463021,1604.94,51,21,50,20,"Less than a High School Diploma"
"113",2002,27723,3,20020302050600,1,NA,2234.26,17,1,20020302050601,200203020506011,2234.26,25,21,50,73,"High School Diploma"
"114",2002,27740,3,0,1,NA,1110.14,17,3,0,0,1693.76,30,21,50,111,"Bachelor's Degree"
"115",2002,27746,3,0,1,NA,1034.07,17,1,0,0,1034.07,26,21,50,81,"Some College No Degree"
"116",2002,27762,3,20001201758800,1,NA,1238.51,17,1,20001201758801,200012017588011,1238.51,31,21,50,30,"Less than a High School Diploma"
"117",2002,27779,3,20010101668500,1,NA,1200.59,17,2,20010101668503,200101016685031,1334.2,38,21,50,73,"High School Diploma"
"118",2002,27828,3,20020105853800,1,NA,1120.58,17,1,20020105853801,200201058538011,1120.58,41,21,50,123,"Advanced Degree"
"119",2002,27860,3,20011202687100,1,NA,982.28,17,4,20011202687104,200112026871041,1673.19,42,21,50,81,"Some College No Degree"
"120",2002,27884,3,20001201836000,1,NA,2123.65,17,1,20001201836001,200012018360011,2123.65,43,21,60,91,"Associate's Degree"
"121",2002,27884,3,20001201836000,1,NA,2123.65,17,2,20001201836002,200012018360021,2123.65,42,21,50,73,"High School Diploma"
"122",2002,27943,3,20001201810400,1,NA,2283.98,17,1,20001201810401,200012018104011,2283.98,45,21,50,92,"Associate's Degree"
"123",2002,27944,3,20001201723800,1,NA,1275.99,17,1,20001201723801,200012017238011,1275.99,52,21,50,73,"High School Diploma"
"124",2002,27971,3,20010204747300,1,NA,1449.21,17,1,20010204747301,200102047473011,1449.21,42,21,50,60,"Less than a High School Diploma"
"125",2002,27995,3,20010301639300,1,NA,2223.93,17,1,20010301639301,200103016393011,2223.93,50,21,50,111,"Bachelor's Degree"
"126",2002,28045,3,20020301962700,1,NA,2834.15,17,2,20020301962702,200203019627021,2834.15,26,21,50,73,"High School Diploma"
"127",2002,28067,3,20001201748400,1,NA,1242.98,17,1,20001201748401,200012017484011,1242.98,60,21,50,30,"Less than a High School Diploma"
"128",2002,28078,3,20010301803200,1,NA,1063.14,17,2,20010301803203,200103018032031,2127.05,32,21,50,73,"High School Diploma"
"129",2002,28145,3,20010301693100,1,NA,1489.77,17,1,20010301693101,200103016931011,1489.77,32,21,50,73,"High School Diploma"
"130",2002,28154,3,20020101137500,1,NA,1389.82,17,1,20020101137501,200201011375011,1389.82,30,21,50,73,"High School Diploma"
"131",2002,28203,3,0,1,NA,1435.7,17,4,0,0,1721.2,30,21,50,73,"High School Diploma"
"132",2002,28205,3,0,1,NA,1246.2,17,1,0,0,1246.2,30,21,50,81,"Some College No Degree"
"133",2002,28214,3,0,1,NA,1171.89,17,1,0,0,1171.89,41,21,50,73,"High School Diploma"
"134",2002,28226,3,0,1,NA,1018.58,17,3,0,0,1699.35,27,21,50,111,"Bachelor's Degree"
"135",2002,28238,3,0,1,NA,1140.89,17,1,0,0,1140.89,38,21,50,73,"High School Diploma"
"136",2002,28245,3,0,1,NA,1581.6,17,2,0,0,2905.21,53,21,50,81,"Some College No Degree"
"137",2002,28248,3,0,1,NA,1379.56,17,3,0,0,1621.11,30,21,50,73,"High School Diploma"
"138",2002,28250,3,0,1,NA,1421.72,17,2,0,0,2031.17,31,21,50,81,"Some College No Degree"
